Huyện Lương Tài,"Xã Bình Định
Xã Quảng Phú
Xã Lâm Thao","Xã Lâm Thao
(32.432 người / 26,26 km2)",
Huyện Lương Tài,"Xã Phú Lương
Xã Quang Minh
Xã Trung Chính","Xã Trung Chính
(26.960 người / 27,64 km2)",
Huyện Lương Tài,"Xã An Thịnh
Xã An Tập
Xã Trung Kênh","Xã Trung Kênh
(38.606 người / 27,32 km2)",
Thành phố Bắc Giang,"Phường Thọ Xương
Phường Ngô Quyền
Phường Xương Giang
Phường Hoàng Văn Thụ
Phường Trần Phú
Phường Dĩnh Kế
Phường Dĩnh Trì","Phường Bắc Giang
(122.838 người / 23,23 km2)",
Thành phố Bắc Giang,"Phường Tân Mỹ
Phường Mỹ Độ
Phường Song Mai
Phường Đa Mai
Xã Quế Nham","Phường Đa Mai
(51.733 người / 33,10 km2)",
Thành phố Bắc Giang,"Phường Nội Hoàng
Phường Tiền Phong
Phường Song Khê
Phường Đồng Sơn","Phường Tiền Phong
(36.335 người / 30,70 km2)",
Thành phố Bắc Giang,"Xã Quỳnh Sơn
Xã Trí Yên
Xã Lãng Sơn
Phường Tân An","Phường Tân An
(37.816 người / 42,87 km2)",
Thành phố Bắc Giang,"Xã Yên Lư
Phường Tân Liễu
Phường Nham Biền","Phường Yên Dũng
(44.149 người / 52,42 km2)",
Thành phố Bắc Giang,"Xã Xuân Phú
Phường Hương Gián
Phường Tân Tiến","Phường Tân Tiến
(34.321 người / 25,46 km2)",
Thành phố Bắc Giang,"Xã Tiến Dũng
Xã Tư Mại
Phường Cảnh Thụy","Phường Cảnh Thụy
(26.928 người / 27,73 km2)",
Thành phố Bắc Giang,"Xã Đồng Việt
Xã Đức Giang
Xã Đồng Phúc","Xã Đồng Việt
(26.714 người / 33,21 km2)",
Thị xã Việt Yên,"Phường Hồng Thái
Xã Nghĩa Trung
Xã Minh Đức
Phường Bích Động","Phường Việt Yên
(59.470 người / 51,97 km2)",
Thị xã Việt Yên,"Phường Quang Châu
Phường Nếnh
Phường Vân Trung
Phường Tăng Tiến","Phường Nếnh
(55.559 người / 35,98 km2)",
Thị xã Việt Yên,"Xã Vân Hà
Xã Tiên Sơn
Xã Trung Sơn
Phường Quảng Minh
Phường Ninh Sơn","Phường Vân Hà
(58.177 người / 43,17 km2)",
Thị xã Việt Yên,"Xã Việt Tiến
Xã Thượng Lan
Xã Hương Mai
Phường Tự Lạn","Phường Tự Lạn
(45.470 người / 39,89 km2)",
Thị xã Chũ,"Phường Chũ
Phường Thanh Hải
Phường Hồng Giang
Phường Trù Hựu","Phường Chũ
(58.409 người / 69,16 km2)",
Thị xã Chũ,"Xã Quý Sơn
Xã Mỹ An
Phường Phượng Sơn","Phường Phượng Sơn
(41.342 người / 78,74 km2)",
Thị xã Chũ,"Xã Kiên Lao
Xã Kiên Thành","Xã Kiên Lao
(16.989 người / 67,19 km2)",
Thị xã Chũ,"Xã Nam Dương
Xã Tân Mộc","Xã Nam Dương
(18.987 người / 85,57 km2)",
Huyện Hiệp Hòa,"Xã Đông Lỗ
Xã Đoan Bái
Xã Danh Thắng
Xã Lương Phong
Thị trấn Thắng","Xã Hiệp Hòa
(90.443 người / 62,18 km2)",
Huyện Hiệp Hòa,"Xã Hương Lâm
Xã Mai Đình
Xã Châu Minh
Xã Xuân Cẩm
Thị trấn Bắc Lý","Xã Xuân Cẩm
(73.763 người / 54,32 km2)",
Huyện Hiệp Hòa,"Xã Hoàng Vân
Xã Đồng Tiến
Xã Toàn Thắng
Xã Ngọc Sơn","Xã Hoàng Vân
(52.899 người / 40,23 km2)",
Huyện Hiệp Hòa,"Xã Thường Thắng
Xã Mai Trung
Xã Hùng Thái
Xã Hợp Thịnh
Xã Sơn Thịnh","Xã Hợp Thịnh
(71.714 người / 49,27 km2)",
Huyện Tân Yên,"Xã Cao Xá
Xã Việt Lập
Xã Ngọc Lý
Thị trấn Cao Thượng","Xã Tân Yên
(50.732 người / 48,13 km2)",
Huyện Tân Yên,"Xã Ngọc Thiện
Xã Song Vân
Xã Ngọc Châu
Xã Ngọc Vân
Xã Việt Ngọc","Xã Ngọc Thiện
(56.702 người / 51,26 km2)",
Huyện Tân Yên,"Xã Tân Trung
Xã Liên Sơn
Xã An Dương
Thị trấn Nhã Nam","Xã Nhã Nam
(33.127 người / 34,43 km2)",
Huyện Tân Yên,"Xã Phúc Hòa
Xã Hợp Đức
Xã Liên Chung","Xã Phúc Hòa
(24.998 người / 32,69 km2)",
Huyện Tân Yên,"Xã Quang Trung
Xã Lam Sơn","Xã Quang Trung
(30.398 người / 31,36 km2)",
Huyện Yên Thế,"Xã Đồng Lạc
Xã Đồng Tâm
Xã Tân Hiệp
Xã Tân Sỏi
Thị trấn Phồn Xương","Xã Yên Thế
(30.651 người / 43,67 km2)",
Huyện Yên Thế,"Xã Đông Sơn
Xã Hương Vĩ
Thị trấn Bố Hạ","Xã Bố Hạ
(27.517 người / 41,32 km2)",
Huyện Yên Thế,"Xã Đồng Kỳ
Xã Đồng Hưu
Xã Đồng Vương","Xã Đồng Kỳ
(22.833 người / 61,44 km2)",
Huyện Yên Thế,"Xã Canh Nậu
Xã Xuân Lương
Xã Đồng Tiến","Xã Xuân Lương
(19.226 người / 99,67 km2)",
Huyện Yên Thế,"Xã Tam Tiến
Xã Tiến Thắng
Xã An Thượng","Xã Tam Tiến
(17.639 người / 60,34 km2)",
Huyện Lạng Giang,"Xã Xương Lâm
Xã Hương Lạc
Xã Tân Hưng
Thị trấn Vôi","Xã Lạng Giang
(63.413 người / 55,41 km2)",
